Linux 5.15.0-87-generic (gl6) 	01/31/2024 	_x86_64_	(32 CPU)

01:36:43 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty  kbanonpg    kbslab  kbkstack   kbpgtbl  kbvmused
01:51:53 AM  53557972 389304128   1416736      0.36   4040916 321921844   3151984      0.78 146969408 179161668        52    196216  13921672      8384      4324    330524
01:51:58 AM  53555684 389303280   1417488      0.36   4040916 321923220   3152116      0.78 146969408 179163120       172    196308  13921832      8400      4324    330524
01:52:03 AM  53553452 389302348   1418452      0.36   4040916 321924488   3152116      0.78 146969408 179164476        40    196392  13921832      8400      4324    330524
01:52:08 AM  53551484 389301932   1418832      0.36   4040916 321925980   3152372      0.78 146969408 179166072       172    196504  13921928      8400      4328    330556
01:52:13 AM  53549784 389301564   1419240      0.36   4040916 321927240   3152372      0.78 146969408 179167416        16    196576  13921960      8400      4324    330524
01:52:18 AM  53547560 389300888   1419968      0.36   4040916 321928736   3152372      0.78 146969408 179169040         8    196716  13921960      8384      4328    330508
01:52:23 AM  53545088 389299840   1420964      0.36   4040916 321930116   3152504      0.78 146969408 179170548        48    196832  13922056      8384      4324    330476
01:52:28 AM  53542892 389299024   1421840      0.36   4040916 321931436   3152760      0.78 146969408 179171968       164    196936  13922056      8384      4328    330476
01:52:33 AM  53540912 389298348   1422520      0.36   4040916 321932704   3152760      0.78 146969408 179173324        36    197020  13922088      8384      4328    330476
01:52:38 AM  53539440 389298000   1422852      0.36   4040916 321933812   3152760      0.78 146969408 179174488       172    197092  13922120      8384      4328    330492
01:52:43 AM  53536464 389296700   1424096      0.36   4040916 321935416   3152984      0.78 146969408 179176196        20    197192  13922248      8384      4332    330492
01:52:48 AM  53534248 389295924   1424900      0.36   4040916 321936796   3153240      0.78 146969408 179177640       156    197256  13922280      8384      4328    330508
01:52:53 AM  53532788 389295828   1424940      0.36   4040916 321938120   3153240      0.78 146969404 179178936        40    197220  13922376      8400      4324    330524
